scenario_id,record_source,ingest_batch_id,order_id,customer_id,vin,market,order_status,order_amount,source_updated_at,loaded_at
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-037,CUST-C037,VIN-C037,SE,created,30037,2026-07-14 10:37:00,2026-07-14 10:42:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-038,CUST-C038,VIN-C038,SE,created,30038,2026-07-14 10:38:00,2026-07-14 10:43:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-039,CUST-C039,VIN-C039,SE,created,30039,2026-07-14 10:39:00,2026-07-14 10:44:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-040,CUST-C040,VIN-C040,SE,created,30040,2026-07-14 10:40:00,2026-07-14 10:45:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-041,CUST-C041,VIN-C041,SE,created,30041,2026-07-14 10:41:00,2026-07-14 10:46:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-042,CUST-C042,VIN-C042,SE,created,30042,2026-07-14 10:42:00,2026-07-14 10:47:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-043,CUST-C043,VIN-C043,SE,created,30043,2026-07-14 10:43:00,2026-07-14 10:48:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-044,CUST-C044,VIN-C044,SE,created,30044,2026-07-14 10:44:00,2026-07-14 10:49:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-045,CUST-C045,VIN-C045,SE,created,30045,2026-07-14 10:45:00,2026-07-14 10:50:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-046,CUST-C046,VIN-C046,SE,created,30046,2026-07-14 10:46:00,2026-07-14 10:51:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-047,CUST-C047,VIN-C047,SE,created,30047,2026-07-14 10:47:00,2026-07-14 10:52:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-048,CUST-C048,VIN-C048,SE,created,30048,2026-07-14 10:48:00,2026-07-14 10:53:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-049,CUST-C049,VIN-C049,SE,created,30049,2026-07-14 10:49:00,2026-07-14 10:54:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-050,CUST-C050,VIN-C050,SE,created,30050,2026-07-14 10:50:00,2026-07-14 10:55:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-051,CUST-C051,VIN-C051,SE,created,30051,2026-07-14 10:51:00,2026-07-14 10:56:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-052,CUST-C052,VIN-C052,SE,created,30052,2026-07-14 10:52:00,2026-07-14 10:57:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-053,CUST-C053,VIN-C053,SE,created,30053,2026-07-14 10:53:00,2026-07-14 10:58:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-054,CUST-C054,VIN-C054,SE,created,30054,2026-07-14 10:54:00,2026-07-14 10:59:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-055,CUST-C055,VIN-C055,SE,created,30055,2026-07-14 10:55:00,2026-07-14 11:00:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-056,CUST-C056,VIN-C056,SE,created,30056,2026-07-14 10:56:00,2026-07-14 11:01:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-057,CUST-C057,VIN-C057,SE,created,30057,2026-07-14 10:57:00,2026-07-14 11:02:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-058,CUST-C058,VIN-C058,SE,created,30058,2026-07-14 10:58:00,2026-07-14 11:03:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-059,CUST-C059,VIN-C059,SE,created,30059,2026-07-14 10:59:00,2026-07-14 11:04:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-060,CUST-C060,VIN-C060,SE,created,30060,2026-07-14 11:00:00,2026-07-14 11:05:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-061,CUST-C061,VIN-C061,SE,created,30061,2026-07-14 11:01:00,2026-07-14 11:06:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-062,CUST-C062,VIN-C062,SE,created,30062,2026-07-14 11:02:00,2026-07-14 11:07:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-063,CUST-C063,VIN-C063,SE,created,30063,2026-07-14 11:03:00,2026-07-14 11:08:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-064,CUST-C064,VIN-C064,SE,created,30064,2026-07-14 11:04:00,2026-07-14 11:09:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-065,CUST-C065,VIN-C065,SE,created,30065,2026-07-14 11:05:00,2026-07-14 11:10:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-066,CUST-C066,VIN-C066,SE,created,30066,2026-07-14 11:06:00,2026-07-14 11:11:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-067,CUST-C067,VIN-C067,SE,created,30067,2026-07-14 11:07:00,2026-07-14 11:12:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-068,CUST-C068,VIN-C068,SE,created,30068,2026-07-14 11:08:00,2026-07-14 11:13:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-069,CUST-C069,VIN-C069,SE,created,30069,2026-07-14 11:09:00,2026-07-14 11:14:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-070,CUST-C070,VIN-C070,SE,created,30070,2026-07-14 11:10:00,2026-07-14 11:15:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-071,CUST-C071,VIN-C071,SE,created,30071,2026-07-14 11:11:00,2026-07-14 11:16:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-072,CUST-C072,VIN-C072,SE,created,30072,2026-07-14 11:12:00,2026-07-14 11:17:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-073,CUST-C073,VIN-C073,SE,created,30073,2026-07-14 11:13:00,2026-07-14 11:18:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-074,CUST-C074,VIN-C074,SE,created,30074,2026-07-14 11:14:00,2026-07-14 11:19:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-075,CUST-C075,VIN-C075,SE,created,30075,2026-07-14 11:15:00,2026-07-14 11:20:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-076,CUST-C076,VIN-C076,SE,created,30076,2026-07-14 11:16:00,2026-07-14 11:21:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-077,CUST-C077,VIN-C077,SE,created,30077,2026-07-14 11:17:00,2026-07-14 11:22:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-078,CUST-C078,VIN-C078,SE,created,30078,2026-07-14 11:18:00,2026-07-14 11:23:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-079,CUST-C079,VIN-C079,SE,created,30079,2026-07-14 11:19:00,2026-07-14 11:24:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-080,CUST-C080,VIN-C080,SE,created,30080,2026-07-14 11:20:00,2026-07-14 11:25:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-081,CUST-C081,VIN-C081,SE,created,30081,2026-07-14 11:21:00,2026-07-14 11:26:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-082,CUST-C082,VIN-C082,SE,created,30082,2026-07-14 11:22:00,2026-07-14 11:27:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-083,CUST-C083,VIN-C083,SE,created,30083,2026-07-14 11:23:00,2026-07-14 11:28:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-084,CUST-C084,VIN-C084,SE,created,30084,2026-07-14 11:24:00,2026-07-14 11:29:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-085,CUST-C085,VIN-C085,SE,created,30085,2026-07-14 11:25:00,2026-07-14 11:30:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-086,CUST-C086,VIN-C086,SE,created,30086,2026-07-14 11:26:00,2026-07-14 11:31:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-087,CUST-C087,VIN-C087,SE,created,30087,2026-07-14 11:27:00,2026-07-14 11:32:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-088,CUST-C088,VIN-C088,SE,created,30088,2026-07-14 11:28:00,2026-07-14 11:33:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-089,CUST-C089,VIN-C089,SE,created,30089,2026-07-14 11:29:00,2026-07-14 11:34:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-090,CUST-C090,VIN-C090,SE,created,30090,2026-07-14 11:30:00,2026-07-14 11:35:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-091,CUST-C091,VIN-C091,SE,created,30091,2026-07-14 11:31:00,2026-07-14 11:36:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-092,CUST-C092,VIN-C092,SE,created,30092,2026-07-14 11:32:00,2026-07-14 11:37:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-093,CUST-C093,VIN-C093,SE,created,30093,2026-07-14 11:33:00,2026-07-14 11:38:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-094,CUST-C094,VIN-C094,SE,created,30094,2026-07-14 11:34:00,2026-07-14 11:39:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-095,CUST-C095,VIN-C095,SE,created,30095,2026-07-14 11:35:00,2026-07-14 11:40:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-096,CUST-C096,VIN-C096,SE,created,30096,2026-07-14 11:36:00,2026-07-14 11:41:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-097,CUST-C097,VIN-C097,SE,created,30097,2026-07-14 11:37:00,2026-07-14 11:42:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-098,CUST-C098,VIN-C098,SE,created,30098,2026-07-14 11:38:00,2026-07-14 11:43:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-099,CUST-C099,VIN-C099,SE,created,30099,2026-07-14 11:39:00,2026-07-14 11:44:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-100,CUST-C100,VIN-C100,SE,created,30100,2026-07-14 11:40:00,2026-07-14 11:45:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-101,CUST-C101,VIN-C101,SE,created,30101,2026-07-14 11:41:00,2026-07-14 11:46:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-102,CUST-C102,VIN-C102,SE,created,30102,2026-07-14 11:42:00,2026-07-14 11:47:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-103,CUST-C103,VIN-C103,SE,created,30103,2026-07-14 11:43:00,2026-07-14 11:48:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-104,CUST-C104,VIN-C104,SE,created,30104,2026-07-14 11:44:00,2026-07-14 11:49:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-105,CUST-C105,VIN-C105,SE,created,30105,2026-07-14 11:45:00,2026-07-14 11:50:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-106,CUST-C106,VIN-C106,SE,created,30106,2026-07-14 11:46:00,2026-07-14 11:51:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-107,CUST-C107,VIN-C107,SE,created,30107,2026-07-14 11:47:00,2026-07-14 11:52:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-108,CUST-C108,VIN-C108,SE,created,30108,2026-07-14 11:48:00,2026-07-14 11:53:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-109,CUST-C109,VIN-C109,SE,created,30109,2026-07-14 11:49:00,2026-07-14 11:54:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-110,CUST-C110,VIN-C110,SE,created,30110,2026-07-14 11:50:00,2026-07-14 11:55:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-111,CUST-C111,VIN-C111,SE,created,30111,2026-07-14 11:51:00,2026-07-14 11:56:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-112,CUST-C112,VIN-C112,SE,created,30112,2026-07-14 11:52:00,2026-07-14 11:57:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-113,CUST-C113,VIN-C113,SE,created,30113,2026-07-14 11:53:00,2026-07-14 11:58:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-114,CUST-C114,VIN-C114,SE,created,30114,2026-07-14 11:54:00,2026-07-14 11:59:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-115,CUST-C115,VIN-C115,SE,created,30115,2026-07-14 11:55:00,2026-07-14 12:00:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-116,CUST-C116,VIN-C116,SE,created,30116,2026-07-14 11:56:00,2026-07-14 12:01:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-117,CUST-C117,VIN-C117,SE,created,30117,2026-07-14 11:57:00,2026-07-14 12:02:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-118,CUST-C118,VIN-C118,SE,created,30118,2026-07-14 11:58:00,2026-07-14 12:03:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-119,CUST-C119,VIN-C119,SE,created,30119,2026-07-14 11:59:00,2026-07-14 12:04:00
completeness_missing_100_vins,orders_api,batch_comp_001,COMP-120,CUST-C120,VIN-C120,SE,created,30120,2026-07-14 12:00:00,2026-07-14 12:05:00
